Date,Open,High,Low,Close,Adj Close,Volume
2017-10-24,164.500000,164.500000,164.500000,164.500000,164.500000,1
2017-10-25,164.500000,164.500000,164.500000,164.500000,164.500000,0
2017-10-26,164.500000,164.500000,164.500000,164.500000,164.500000,0
2017-10-27,164.500000,164.500000,164.500000,164.500000,164.500000,0
2017-10-30,164.500000,164.500000,164.500000,164.500000,164.500000,0
2017-10-31,164.500000,164.500000,164.500000,164.500000,164.500000,0
2017-11-01,164.500000,164.500000,164.500000,164.500000,164.500000,0
2017-11-02,164.500000,164.500000,164.500000,164.500000,164.500000,0
2017-11-03,171.699997,171.699997,171.199997,171.600006,171.600006,18
2017-11-06,172.399994,172.800003,172.399994,172.800003,172.800003,24
2017-11-07,173.699997,173.800003,173.699997,173.800003,173.800003,37
2017-11-08,168.899994,169.500000,168.899994,169.500000,169.500000,20
2017-11-09,169.500000,169.500000,167.899994,167.899994,167.899994,25
2017-11-10,167.899994,167.899994,167.899994,167.899994,167.899994,0
2017-11-13,167.899994,167.899994,167.899994,167.899994,167.899994,0
2017-11-14,166.300003,166.300003,165.699997,165.699997,165.699997,8
2017-11-15,164.600006,165.500000,164.600006,165.500000,165.500000,35
2017-11-16,164.399994,164.699997,164.000000,164.000000,164.000000,45
2017-11-17,164.000000,164.000000,164.000000,164.000000,164.000000,0
2017-11-20,164.000000,164.000000,164.000000,164.000000,164.000000,0
2017-11-21,165.199997,165.199997,165.199997,165.199997,165.199997,15
2017-11-22,165.199997,165.199997,165.199997,165.199997,165.199997,0
2017-11-23,165.199997,165.199997,165.199997,165.199997,165.199997,0
2017-11-24,165.199997,165.199997,165.199997,165.199997,165.199997,0
2017-11-27,165.199997,165.199997,165.199997,165.199997,165.199997,0
2017-11-28,164.199997,164.199997,164.199997,164.199997,164.199997,66
2017-11-29,168.399994,168.399994,168.399994,168.399994,168.399994,15
2017-11-30,160.300003,160.300003,158.800003,159.800003,159.800003,136
2017-12-01,159.800003,159.800003,159.800003,159.800003,159.800003,0
2017-12-04,158.800003,158.800003,158.800003,158.800003,158.800003,31
2017-12-05,158.800003,158.800003,158.800003,158.800003,158.800003,0
2017-12-06,158.800003,158.800003,158.800003,158.800003,158.800003,0
2017-12-07,158.300003,158.300003,157.300003,157.300003,157.300003,45
2017-12-08,158.800003,161.000000,158.800003,161.000000,161.000000,25
2017-12-11,160.600006,160.600006,160.000000,160.000000,160.000000,70
2017-12-12,160.000000,160.000000,160.000000,160.000000,160.000000,0
2017-12-13,158.699997,158.699997,158.699997,158.699997,158.699997,15
2017-12-14,160.000000,160.000000,158.800003,158.800003,158.800003,37
2017-12-15,161.300003,161.300003,161.300003,161.300003,161.300003,4
2017-12-18,162.500000,162.500000,162.500000,162.500000,162.500000,5
2017-12-19,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-12-20,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-12-21,159.800003,162.600006,159.800003,162.600006,162.600006,30
2017-12-22,159.800003,159.800003,159.800003,159.800003,159.800003,5
2017-12-27,159.800003,159.800003,159.800003,159.800003,159.800003,0
2017-12-28,159.800003,159.800003,159.800003,159.800003,159.800003,0
2017-12-29,159.800003,159.800003,159.800003,159.800003,159.800003,0
2018-01-02,161.000000,166.600006,161.000000,166.600006,166.600006,37
2018-01-03,168.600006,170.000000,168.600006,170.000000,170.000000,195
2018-01-04,171.399994,172.000000,170.199997,170.199997,170.199997,254
2018-01-05,172.199997,172.199997,170.399994,172.199997,172.199997,157
2018-01-08,176.000000,176.199997,174.399994,175.600006,175.600006,225
2018-01-09,178.600006,179.000000,176.000000,176.000000,176.000000,571
2018-01-10,175.399994,176.399994,174.600006,176.399994,176.399994,17
2018-01-11,179.000000,180.800003,178.399994,180.800003,180.800003,512
2018-01-12,180.800003,181.399994,179.199997,181.399994,181.399994,57
2018-01-15,183.000000,183.000000,181.000000,181.000000,181.000000,34
2018-01-16,181.600006,184.800003,181.600006,182.800003,182.800003,111
2018-01-17,179.000000,179.000000,179.000000,179.000000,179.000000,40
2018-01-18,177.800003,177.800003,177.800003,177.800003,177.800003,15
2018-01-19,180.399994,181.600006,180.000000,180.000000,180.000000,92
2018-01-22,181.199997,185.800003,181.199997,185.000000,185.000000,160
2018-01-23,196.600006,210.000000,189.000000,206.000000,206.000000,738
